id,nome,categoria,periodo,publico,custo,avaliacao,endereco,horario,imagem,resumo,card_img,descricao,dicas
11,Teatro Santa Roza,Cultural,noite,casal|amigos|sozinho,medio,4.7,"Praça Pedro Américo, Centro, João Pessoa – PB","Conforme eventos",teatro-santa-roza.jpg,"Mais antigo teatro da Paraíba, conhecido pela arquitetura neoclássica e pelas apresentações artísticas no centro de João Pessoa.",teatro-santa-roza-externo.jpeg,"O Teatro Santa Roza é um dos mais antigos espaços culturais da Paraíba. Inaugurado no século XIX, continua recebendo apresentações artísticas e eventos culturais.","Confira a programação antes da visita|Observe a arquitetura interna|Visite também o entorno histórico"
12,Ponta do Seixas,Natural,manha|tarde,familia|amigos|sozinho,baixo,4.5,"Av. Ponta do Seixas, Seixas, João Pessoa – PB","",ponta_do_seixas.jpg,"O ponto mais oriental das Américas. Aqui o sol nasce primeiro no continente. Falésias, mar azul intenso e o Farol do Cabo Branco compõem o cenário.",ponta-do-seixas.jpg,"A Ponta do Seixas abriga o ponto mais oriental das Américas. O local oferece belas paisagens, falésias, mirantes e vista privilegiada do Oceano Atlântico.","Melhor horário: nascer do sol|Leve água e proteção solar|Visite também o Farol do Cabo Branco"
13,Praia do Jacaré,Natural,tarde,casal|familia|amigos|sozinho,baixo,4.8,"Rua Jacaré, Jacaré, Cabedelo – PB","",praia_do_jacare.jpg,"O pôr do sol mais famoso do Nordeste. Diariamente, ao som do Bolero de Ravel tocado em saxofone sobre as águas do Rio Paraíba, o sol se despede da cidade.",por-do-sol-jacare.jpg,"A Praia do Jacaré é famosa pelo pôr do sol acompanhado pelo Bolero de Ravel executado às margens do rio Paraíba. O local reúne lazer, gastronomia e apresentações culturais.","Chegue antes do pôr do sol|Faça um passeio de catamarã|Aproveite a feira de artesanato"
14,Parque Arruda Câmara (Bica),Natural,manha|tarde,familia|amigos|sozinho,baixo,4.4,"Av. Gouveia Nóbrega, Tambiá, João Pessoa – PB","Ter.–Dom. 8h–17h",bica.jpg,"Um dos principais espaços de lazer e contato com a natureza em João Pessoa, reunindo áreas verdes, trilhas e diversas espécies de animais em um ambiente ideal para toda a família.",bica-zoo.jpg,"O Parque Zoobotânico Arruda Câmara, conhecido como Bica, reúne zoológico, jardim botânico e áreas de preservação ambiental. É uma das principais áreas verdes da cidade.","Ideal para famílias e crianças|Use calçados confortáveis|Aproveite as trilhas ecológicas"
15,Areia Vermelha,Natural,manha|tarde,casal|familia|amigos|sozinho,medio,4.7,"Praia de Camboinha, Camboinha, Cabedelo – PB","Conforme a maré",areia_vermelha.png,"Belo banco de areia que surge durante a maré baixa, formando um cenário paradisíaco de águas cristalinas e proporcionando uma experiência única no litoral paraibano.",areia-vermelha.webp,"Areia Vermelha é um banco de areia que surge durante a maré baixa, cercado por águas claras e recifes. É uma das atrações naturais mais conhecidas do litoral paraibano.","Vá em maré baixa|Use proteção solar|Evite ficar até a subida da maré"
16,Priscylla's Hall,Vida Noturna,noite,amigos,medio,4.5,"Av. Monte Castelo, 73, Mandacaru, João Pessoa – PB","Sex.–Sáb. a partir das 22h",priscyllas_hall_card.jpg,"Uma das boates mais populares de João Pessoa, com música eletrônica, funk e sertanejo universitário em um ambiente animado.",priscyllas_hall_card.jpg,"A Priscylla's Hall, conhecida como PH, é o point da vida noturna de João Pessoa. Com espaços intimistas, iluminação cênica e programação musical variada, atrai multidões nos fins de semana. É considerada acessível e segura, perfeita para quem quer dançar a noite toda.","Compre o ingresso antecipado nos fins de semana|Chegue depois da meia-noite para o pico da festa|Confira a programação nas redes sociais"
17,Skybar,Vida Noturna,noite,casal|amigos,alto,4.7,"Rua Maria das Dores Souza, 81, Altiplano, João Pessoa – PB","Conforme eventos",skybar.jpg,"O night club mais alto da América Latina, no topo de um edifício no Altiplano, com vista deslumbrante para João Pessoa e ambiente sofisticado.",skybar_card.jpg,"O Skybar oferece uma experiência noturna única em João Pessoa: um rooftop sofisticado com vista panorâmica para a cidade e o oceano. É o point ideal para quem busca uma noite elegante, com drinks bem elaborados e uma atmosfera intimista e exclusiva.","Confira os eventos especiais antes de ir|Vista-se bem — o ambiente é sofisticado|A vista ao entardecer é um espetáculo à parte"
18,Giramundo,Vida Noturna,noite,casal|amigos|sozinho,medio,4.4,"Av. Almirante Tamandaré, 564, Tambaú, João Pessoa – PB","Seg.–Sáb. a partir das 18h",giramundo_card.jpg,"Bar animado na orla de Tambaú com grande variedade de drinks, petiscos regionais e ambiente descontraído para happy hour e noitadas.",giramundo_card.jpg,"O Giramundo é um dos bares mais movimentados da orla de Tambaú. Com mesas na calçada, cerveja gelada, drinks variados e pratos típicos nordestinos, é uma opção clássica tanto para o happy hour quanto para quem quer curtir a noite em João Pessoa sem formalidades.","Ótimo para começar a noite antes de ir a outros lugares|Experimente os petiscos regionais|Frequentado por turistas e moradores"
19,General Store,Vida Noturna,noite,amigos|sozinho,baixo|medio,4.4,"Rua Duque de Caxias, 54, Centro Histórico, João Pessoa – PB","Ter.–Sáb. a partir das 18h",general_store_card.jpg,"Bar e espaço cultural no Centro Histórico, point dos descolados de João Pessoa, com shows variados e ambiente alternativo.",general_store_card.jpg,"O General Store combina bar, loja e espaço para eventos no coração do Centro Histórico de João Pessoa. Com programação variada que vai do indie ao rock e ao samba, é frequentado por quem busca uma noite diferente, com mais cultura e menos badalação.","Confira a programação de shows antes de ir|Boa pedida para quem gosta de música ao vivo|Explore o entorno histórico antes de entrar"
20,Vila do Porto,Vida Noturna,noite,amigos|sozinho,baixo|medio,4.3,"Praça São Frei Pedro Gonçalves, 8, Varadouro, João Pessoa – PB","Conforme programação",vila_do_porto.jpg,"Casa de shows e festas no Centro Histórico, em frente ao Hotel Globo, com programação cultural variada e apelo à cena indie e alternativa.",vila_do_porto_card.jpg,"O Vila do Porto é um espaço cultural e de entretenimento noturno localizado no charmoso Varadouro, próximo ao rio Sanhauá. Com apresentações ao vivo, festas temáticas e ambiente descontraído, é referência para a cena alternativa e indie de João Pessoa.","Combine com um passeio pelo Centro Histórico antes do show|Fique de olho na programação — os eventos variam muito|O ambiente externo no Varadouro é muito agradável"
